"CUSTOMER_ID","CUSTOMER_NAME","CUSTOMER_NUMBER","CUSTOMER_TYPE","CUSTOMER_STATUS","SALES_REP","DEFAULT_INVOICE_EMAIL_ADDRESS","CREATED_DATE"
62420,"Southern Graphics Systems, LLC","0000000385","Standard","Regular","Alex Hay","acctspayAMER-Invoice@propelis.com",2021-08-16
284619,"Empirical - Momentara","0000000960","Standard","Regular","Alex Hay","michael@empirical-inc.com",2026-06-25
283008,"Tranky's Tacos","0000000900","Standard","Regular","Alex Hay","cheflupe@trankystacos.com",2026-04-21
282850,"Rain Fresh Water","0000000897","Standard","Regular","Alex Hay","rainfreshcc@gmail.com",2026-04-15
196299,"Kinective Media","0000000652","Standard","Regular","Alex Hay","",2025-01-21
125239,"Empirical","0000000526","Standard","Regular","Alex Hay","michael@empirical-inc.com",2023-06-30
274436,"Dude Sweet Chocolate","0000000787","Standard","Regular","Alex Hay","katherine@dudesweetchocolate.com",2025-10-14
60506,"Phoenix Social","0000000369","Standard","Regular","Kara Longhurst","michael@empirical-inc.com",2021-04-06
74135,"Outfront Media - Denver","0000000406","Standard","Regular","Kara Longhurst","outfrontmedia@filebridgemail.com",2022-02-22
1249,"LTL Demo","0000000152","Standard","Regular","Pablo Picasso","jmitt@ltlco.com,drown-92.coaxes@icloud.com",2016-09-07
60239,"Street Level Media","0000000365","Standard","Regular","Nate Bramel","",2021-03-09
61873,"Flextronics America, LLC","0000000380","Standard","Regular","Nate Bramel","apsupport@flex.com",2021-07-15
223283,"Mac Papers + Packaging","0000000704","Standard","Regular","Nate Bramel","accpay@macpapers.com",2025-05-13
221664,"Grinds","0000000672","Standard","Regular","Nate Bramel","robdartz@aol.com",2025-02-27
284654,"DAV","0000000962","Standard","Regular","Nate Bramel","JCox2@DAV.ORG",2026-06-26
78557,"Boxed Media","0000000442","Standard","Regular","Nate Bramel","joe@boxed-media.com",2022-06-14
196578,"Global Sourcing d/b/a Coefficient","0000000657","Standard","Regular","Nate Bramel","accountspayable@coefficient-global.com",2025-01-31
196169,"Benchmark","0000000650","Standard","Regular","Nate Bramel","nh.ap@bench.com;sophary.kem@bench.com",2025-01-13
174768,"The Madison Place","0000000554","Standard","Regular","Nate Bramel","connect@themadisonplace.com",2023-11-20
281806,"Seen Media","0000000858","Standard","Regular","Nate Bramel","ap@seenmedia.com; melanie.milbauer@seenmedia.com",2026-03-05
60177,"Key Me Locksmith","0000000364","Retail","Regular","Nate Bramel","invoices@key.me;riley.brown@key.me",2021-03-02
279288,"Outfront Truck Decals","0000000833","Agency","Regular","Nate Bramel","jeff.marcheso@outfront.com",2026-01-23
105313,"ViaCore","0000000512","Broker","Regular","Mark Pohlkamp","accounting@viacorenutrition.com",2023-06-07
1423,"Artworks","0000000260","Standard","Regular","Mark Pohlkamp","Megan@Artworkscincinnati.org",2018-09-25
222005,"Champion Graphics","0000000679","Standard","Regular","Mark Pohlkamp","accounting@champion-graphics.com",2025-03-21
222899,"RO Dev","0000000697","Standard","Regular","Mark Pohlkamp","",2025-04-25
222043,"Sturdy Sauce","0000000680","Standard","Regular","Mark Pohlkamp","rhett@sturdysauce.com",2025-03-25
94566,"South Beach Syrups","0000000488","Standard","Regular","Mark Pohlkamp","michael@southbeachsyrup.com",2023-03-27
95306,"Sunrose Inc","0000000503","Standard","Regular","Mark Pohlkamp","sr@sunroseinc.com",2023-05-18
95310,"Sweet Bake Desserts","0000000504","Standard","Regular","Mark Pohlkamp","helen@cafelerou.com;pete@cafelerou.com",2023-05-19
94321,"York Street Market","0000000484","Standard","Regular","Mark Pohlkamp","accounting@yorkstreetfresh.com",2023-03-06
282627,"Incredibly Fake Meds","0000000888","Standard","Regular","Mark Pohlkamp","mrrich@fakemail.net",2026-04-07
282669,"Delete Me Incorporated","0000000889","Standard","Regular","Mark Pohlkamp","dmimoney@fakemail.net",2026-04-08
283650,"partner api","0000000922","Standard","Regular","Mark Pohlkamp","rosidi7941@acanok.com",2026-05-15
222980,"Wildwood Grilling","0000000698","Standard","Regular","Mark Pohlkamp","",2025-04-30
222619,"Anna &amp; Eve","0000000689","Standard","Regular","Mark Pohlkamp","anna@annaandeve.com",2025-04-09
197249,"Divine Design Manufacturing","0000000667","Standard","Regular","Mark Pohlkamp","",2025-02-20
196948,"Saxa Foods","0000000658","Standard","Regular","Mark Pohlkamp","saxafoods@gmail.com",2025-01-31
222582,"Hive To Table Honey Farms","0000000688","Standard","Regular","Mark Pohlkamp","",2025-04-07
196304,"Cinderella Hair","0000000653","Standard","Regular","Mark Pohlkamp","carol@cinderellahair.com",2025-01-22
187087,"RedCamper","0000000624","Standard","Regular","Mark Pohlkamp","maurag@redcamper.com",2024-09-06
187586,"Tularosa Vineyards","0000000641","Standard","Regular","Mark Pohlkamp","silverbulletbarcasino@gmail.com",2024-10-21
187565,"SMP","0000000640","Standard","Regular","Mark Pohlkamp","AP@smpnutra.com;purchasing@smpnutra.com",2024-10-18
186981,"Nature Nux","0000000619","Standard","Regular","Mark Pohlkamp","",2024-08-27
187600,"Bioactive, LLC","0000000642","Standard","Regular","Mark Pohlkamp","",2024-10-22
186473,"Evolution Salt*","0000000610","Standard","Regular","Mark Pohlkamp","accounting@evolutionsalt.com;lexi@evolutionsalt.com",2024-07-10
186672,"Catalyst Nutrition","0000000617","Standard","Regular","Mark Pohlkamp","",2024-07-29
187377,"Olivarez Honey-old","0000000634","Standard","Regular","Mark Pohlkamp","ap@ohbees.com",2024-10-01
187123,"Malettas Craft Hot Sauce","0000000627","Standard","Regular","Mark Pohlkamp","",2024-09-10
187176,"UDF","0000000628","Standard","Regular","Mark Pohlkamp","",2024-09-13
186802,"TS Goods, Inc.","0000000618","Standard","Regular","Mark Pohlkamp","brittany@marymacks.com",2024-08-08
177360,"BF Suma","0000000590","Standard","Regular","Mark Pohlkamp","wendy.cheung@bfsuma.com",2024-04-11
181072,"Urban Remedy","0000000595","Standard","Regular","Mark Pohlkamp","",2024-04-26
177294,"505 Spirits LLC","0000000589","Standard","Regular","Mark Pohlkamp","anna@505spirits.com",2024-04-08
181451,"Food Innovations","0000000605","Standard","Regular","Mark Pohlkamp","accounting@innovatefood.com",2024-05-23
176936,"Shank's Extracts","0000000576","Standard","Regular","Mark Pohlkamp","",2024-03-13
174972,"Red Gold","0000000557","Standard","Regular","Mark Pohlkamp","",2023-12-11
